Reporting Date,Furnace,cast,coke_rate_day,coke_rate_cum,productivity_day,productivity_cum,sinter_burden_day,sinter_burden_cum,temperature,Charge,Last-Si,Last-Mn,Last-S,PCI_day,PCI_cum,Coke_ratio_day,Coke_ratio_cum,Hot_metal_day,Hot_Metal_cum,Character Field Length = 10,PCI_day,PCI_cum,Sinter_day,sinter_cum,coke_day,coke_cum,nut_coke_day,nut_coke_cum,nut_coke_rate_day,nut_coke_rate_cum,Ironore_day,Ironore_cum,Sulpher_min,Sulpher_max,H2_top,O2,N2,SlagRate,Pellet_day,Pellet_cum,Pellet_rate_day,Pellet_rate_cum,scrap_day,scrap_cum,fuel_rate_day,fuel_rate_cum,o2_enrichment_day,o2_enrichment_cum,temp_day,temp_cum
3/28/2023,IV,8,506,489,1.603,1.464,73,71,966,165,0.640,0.040,0.040,86.17,84.73,1.48,,2321,59350,,200,5029,2908,70491,1166,28998,63,1441,27.14,24.28,1100,28745,0.038,0.050,,3277,,385,0,0,0,0,0,0,,,,,,
3/28/2023,TOT,32,411,413,2.040,2.002,73,72,,427,,,,120.48,127.32,,,13073,359325,,1575,45751,15296,442479,5225,148360,444,12741,33.96,35.46,4162,111355,,,,,,,1487,61067,7,10,0,0,,,,,,
3/28/2023,V,15,374,381,2.415,2.381,73,73,1146,117,0.890,0.080,0.042,139.02,148.74,1.36,,8380,231365,,1165,34414,9619,288148,3000,88126,308,9268,36.75,40.06,2009,50436,0.022,0.042,,18552,,392,1487,57697,11,15,0,0,,,,,,
3/29/2023,I,8,455,453,1.533,1.649,73,70,1153,150,0.660,0.020,0.047,87.96,91.28,1.79,,2285,71307,,201,6509,2851,86691,1040,32276,74,2106,32.39,29.53,1081,33255,0.031,0.047,,4888,,389,0,3370,0,3,0,0,,,,,,
3/29/2023,IV,10,523,487,1.534,1.475,73,71,965,153,0.850,0.030,0.036,89.15,84.41,1.69,,2221,61922,,198,5227,2657,73148,1162,30160,58,1499,26.11,24.21,967,29712,0.036,0.060,,2482,,396,0,0,0,0,0,0,,,,,,
3/29/2023,TOT,33,406,412,2.078,2.009,72,72,,426,,,,121.42,126.83,,,13317,373467,,1617,47368,15750,458229,5406,153766,467,13208,35.07,35.37,4314,115669,,,,,,,1724,62791,8,10,0,0,,,,,,
3/29/2023,V,15,364,380,2.539,2.387,72,73,1150,123,0.660,0.040,0.035,138.24,148.32,1.62,,8811,240238,,1218,35632,10242,298390,3204,91330,335,9603,38.02,39.97,2266,52702,0.031,0.051,,27233,,399,1724,59421,12,14,0,0,,,,,,
3/30/2023,I,9,444,452,1.632,1.650,73,70,1148,157,0.800,0.050,0.038,90.80,91.21,1.84,,2434,73787,,221,6730,2928,89619,1081,33357,77,2183,31.64,29.59,1071,34326,0.031,0.044,,5147,,399,0,3370,0,3,0,0,,,,,,
3/30/2023,IV,6,503,488,1.300,1.469,71,71,941,137,0.830,0.050,0.037,59.48,83.68,1.77,,1883,63805,,112,5339,2053,75201,947,31107,46,1545,24.43,24.21,854,30566,0.028,0.044,,2786,,391,0,0,0,0,0,0,,,,,,
3/30/2023,TOT,29,404,411,2.028,2.011,72,72,,419,,,,116.77,126.41,,,13000,386713,,1518,48886,15406,473635,5246,159012,462,13670,35.54,35.35,4254,119923,,,,,,,1726,64517,8,10,0,0,,,,,,
3/30/2023,V,14,371,380,2.502,2.393,72,73,1150,125,0.660,0.044,0.031,136.47,147.79,1.44,,8683,249121,,1185,36817,10425,308815,3218,94548,339,9942,39.04,39.91,2329,55031,0.024,0.040,,24658,,409,1726,61147,12,14,0,0,,,,,,
3/31/2023,I,9,430,451,1.715,1.651,73,70,1160,159,0.700,0.030,0.044,84.08,90.98,1.92,,2557,76333,,215,6945,2990,92609,1099,34456,79,2262,30.90,29.63,1104,35430,0.035,0.047,,5490,,399,0,3370,0,3,0,0,,,,,,
3/31/2023,IV,8,480,487,1.519,1.470,71,71,972,147,0.560,0.030,0.055,85.45,83.74,1.50,,2200,66005,,188,5527,2431,77632,1057,32164,54,1599,24.55,24.23,1005,31571,0.043,0.070,,2731,,385,0,0,0,0,0,0,,,,,,
3/31/2023,TOT,32,408,411,2.087,2.014,72,72,,431,,,,126.64,127.81,,,13377,400103,,1694,51137,15830,489465,5459,164471,472,14142,35.28,35.35,4436,124359,,,,,,,1766,66283,8,10,0,0,,,,,,
3/31/2023,V,15,383,380,2.484,2.396,72,73,1150,125,0.530,0.030,0.036,149.77,150.00,1.54,,8620,257765,,1291,38665,10409,319224,3303,97851,339,10281,39.33,39.89,2327,57358,0.027,0.049,,24284,,410,1766,62913,12,14,0,0,,,,,,
4/1/2023,I,10,501,501,1.492,1.492,74,74,1159,154,0.820,0.050,0.033,97.53,97.53,1.85,,2225,2225,,217,217,2899,2899,1115,1115,73,73,32.81,32.81,1042,1042,0.030,0.044,,5097,,425,0,0,0,0,0,0,,,,,,
4/1/2023,IV,8,548,548,1.448,1.448,73,73,973,157,0.780,0.040,0.035,91.08,91.08,1.37,,2097,2097,,191,191,2670,2670,1150,1150,58,58,27.66,27.66,971,971,0.035,0.057,,2775,,410,0,0,0,0,0,0,,,,,,
4/1/2023,TOT,31,502,502,1.632,1.632,72,72,,410,,,,157.38,157.38,,,10459,10459,,1646,1646,14863,14863,5254,5254,442,442,42.26,42.26,4218,4218,,,,,,,1645,1645,8,8,0,0,,,,,,
